	"output/RSEM/NGS128_S21.isoforms.results"	"output/RSEM/NGS130_S23.isoforms.results"
"CCDS22268.1|Mm108|chr8"	0.00	0.00
"CCDS22313.1|Mm108|chr8"	0.00	0.00
"CCDS52585.1|Mm108|chr8"	0.00	0.00
"CCDS22402.2|Mm108|chr8"	0.00	0.00
"CCDS52589.1|Mm108|chr8"	0.00	0.00
"CCDS52628.1|Mm108|chr8"	0.00	0.00
"CCDS52687.1|Mm108|chr8"	0.00	0.00
"CCDS52688.1|Mm108|chr8"	0.00	0.00
"CCDS52689.1|Mm108|chr8"	0.00	0.00
"CCDS22743.1|Mm108|chr8"	0.00	0.00
"CCDS22768.1|Mm108|chr8"	0.00	0.00
"CCDS40431.1|Mm108|chr8"	0.00	0.00
"CCDS22552.1|Mm108|chr8"	0.00	0.00
"CCDS52637.1|Mm108|chr8"	0.00	0.00
"CCDS22582.1|Mm108|chr8"	0.00	0.00
"CCDS52651.1|Mm108|chr8"	0.00	0.00
"CCDS52652.1|Mm108|chr8"	0.00	0.00
"CCDS40372.1|Mm108|chr8"	0.00	0.00
"CCDS40267.1|Mm108|chr8"	0.00	0.00
"CCDS22905.2|Mm108|chr9"	0.00	0.00
"CCDS57661.1|Mm108|chr9"	0.00	0.00
"CCDS90521.1|Mm108|chr9"	0.00	0.00
"CCDS90529.1|Mm108|chr9"	0.00	0.00
"CCDS23110.1|Mm108|chr9"	0.00	0.00
"CCDS23111.1|Mm108|chr9"	0.00	0.00
"CCDS23210.1|Mm108|chr9"	0.00	0.00
"CCDS90577.1|Mm108|chr9"	0.00	0.00
"CCDS40654.1|Mm108|chr9"	0.00	0.00
"CCDS52811.1|Mm108|chr9"	0.00	0.00
"CCDS81006.1|Mm108|chr9"	0.00	0.00
"CCDS40671.1|Mm108|chr9"	0.00	0.00
"CCDS52869.1|Mm108|chr9"	0.00	0.00
"CCDS40715.1|Mm108|chr9"	0.00	0.00
"CCDS52879.1|Mm108|chr9"	0.00	0.00
"CCDS40737.1|Mm108|chr9"	0.00	0.00
"CCDS23553.1|Mm108|chr9"	0.00	0.00
"CCDS40774.1|Mm108|chr9"	0.00	0.00
"CCDS40776.1|Mm108|chr9"	0.00	0.00
"CCDS52949.1|Mm108|chr9"	0.00	0.00
"CCDS23609.1|Mm108|chr9"	0.00	0.00
"CCDS23647.2|Mm108|chr9"	0.00	0.00
"CCDS52970.1|Mm108|chr9"	0.00	0.00
"CCDS85877.1|Mm108|chrY"	0.00	0.00
"CCDS23174.1|Mm108|chr9"	0.00	0.00
"CCDS40772.1|Mm108|chr9"	0.00	0.00
"CCDS30000.1|Mm108|chrX"	0.00	0.00
"CCDS30042.2|Mm108|chrX"	0.00	0.00
"CCDS30076.1|Mm108|chrX"	0.00	0.00
"CCDS53082.1|Mm108|chrX"	0.00	0.00
"CCDS90742.1|Mm108|chrX"	0.00	0.00
"CCDS41100.1|Mm108|chrX"	0.00	0.00
"CCDS30367.1|Mm108|chrX"	0.00	0.00
"CCDS41170.1|Mm108|chrX"	0.00	0.00
"CCDS53217.1|Mm108|chrX"	0.00	0.00
"CCDS53218.1|Mm108|chrX"	0.00	0.00
"CCDS53219.1|Mm108|chrX"	0.00	0.00
"CCDS30503.2|Mm108|chrX"	0.00	0.00
"CCDS90769.1|Mm108|chrX"	0.00	0.00
"CCDS53238.1|Mm108|chrX"	0.00	0.00
"CCDS40895.1|Mm108|chrX"	0.00	0.00
"CCDS40894.1|Mm108|chrX"	0.00	0.00
"CCDS30087.1|Mm108|chrX"	0.00	0.00
"CCDS81234.1|Mm108|chrY"	0.00	0.00
"CCDS23746.1|Mm108|chr10"	0.00	0.00
"CCDS23980.1|Mm108|chr10"	0.00	0.00
"CCDS36045.1|Mm108|chr10"	0.00	0.00
"CCDS36060.1|Mm108|chr10"	0.00	0.00
"CCDS24188.1|Mm108|chr10"	0.00	0.00
"CCDS25237.1|Mm108|chr11"	0.00	0.00
"CCDS25617.1|Mm108|chr11"	0.00	0.00
"CCDS25790.1|Mm108|chr12"	0.00	0.00
"CCDS25825.2|Mm108|chr12"	0.00	0.00
"CCDS26072.1|Mm108|chr12"	0.00	0.00
"CCDS49190.1|Mm108|chr12"	0.00	0.00
"CCDS49328.1|Mm108|chr13"	0.00	0.00
"CCDS36856.2|Mm108|chr14"	0.00	0.00
"CCDS26930.2|Mm108|chr14"	0.00	0.00
"CCDS36949.1|Mm108|chr14"	0.00	0.00
"CCDS27437.1|Mm108|chr15"	0.00	0.00
"CCDS49671.1|Mm108|chr15"	0.00	0.00
"CCDS27949.1|Mm108|chr16"	0.00	0.00
"CCDS28770.1|Mm108|chr17"	0.00	0.00
"CCDS50146.1|Mm108|chr17"	0.00	0.00
"CCDS28963.1|Mm108|chr17"	0.00	0.00
"CCDS50264.1|Mm108|chr18"	0.00	0.00
"CCDS48221.1|Mm108|chr1"	0.00	0.00
"CCDS15216.1|Mm108|chr1"	0.00	0.00
"CCDS48381.1|Mm108|chr1"	0.00	0.00
"CCDS15529.2|Mm108|chr1"	0.00	0.00
"CCDS38080.1|Mm108|chr2"	0.00	0.00
"CCDS50782.1|Mm108|chr2"	0.00	0.00
"CCDS38201.1|Mm108|chr2"	0.00	0.00
"CCDS18117.1|Mm108|chr4"	0.00	0.00
"CCDS18673.1|Mm108|chr4"	0.00	0.00
"CCDS18683.1|Mm108|chr4"	0.00	0.00
"CCDS18878.1|Mm108|chr4"	0.00	0.00
"CCDS51363.1|Mm108|chr4"	0.00	0.00
"CCDS19368.1|Mm108|chr5"	0.00	0.00
"CCDS19432.2|Mm108|chr5"	0.00	0.00
"CCDS51548.1|Mm108|chr5"	0.00	0.00
"CCDS89938.1|Mm108|chr5"	0.00	0.00
"CCDS19501.1|Mm108|chr5"	0.00	0.00
"CCDS51597.1|Mm108|chr5"	0.00	0.00
"CCDS51602.1|Mm108|chr5"	0.00	0.00
"CCDS51603.1|Mm108|chr5"	0.00	0.00
"CCDS57394.1|Mm108|chr5"	0.00	0.00
"CCDS19588.1|Mm108|chr5"	0.00	0.00
"CCDS19762.1|Mm108|chr5"	0.00	0.00
"CCDS20293.1|Mm108|chr6"	0.00	0.00
"CCDS51983.1|Mm108|chr7"	0.00	0.00
"CCDS52008.1|Mm108|chr7"	0.00	0.00
"CCDS57499.1|Mm108|chr7"	0.00	0.00
"CCDS20882.2|Mm108|chr7"	0.00	0.00
"CCDS20934.1|Mm108|chr7"	0.00	0.00
"CCDS57535.1|Mm108|chr7"	0.00	0.00
"CCDS57538.1|Mm108|chr7"	0.00	0.00
"CCDS21234.2|Mm108|chr7"	0.00	0.00
"CCDS52091.1|Mm108|chr7"	0.00	0.00
"CCDS52087.1|Mm108|chr7"	0.00	0.00
"CCDS21567.1|Mm108|chr7"	0.00	0.00
"CCDS21634.1|Mm108|chr7"	0.00	0.00
"CCDS52157.1|Mm108|chr7"	0.00	0.00
"CCDS52353.1|Mm108|chr7"	0.00	0.00
"CCDS20773.1|Mm108|chr7"	0.00	0.00
"CCDS89686.1|Mm108|chr3"	0.00	0.00
"CCDS52477.1|Mm108|chr8"	0.00	0.00
"CCDS40325.1|Mm108|chr8"	0.00	0.00
"CCDS40332.1|Mm108|chr8"	0.00	0.00
"CCDS17544.1|Mm108|chr3"	0.00	0.00
"CCDS50972.1|Mm108|chr3"	0.00	0.00
"CCDS49462.1|Mm108|chr14"	0.00	0.00
"CCDS38404.1|Mm108|chr3"	0.00	0.00
"CCDS29995.1|Mm108|chrX"	0.00	0.00
"CCDS52999.1|Mm108|chrX"	0.00	0.00
"CCDS40879.1|Mm108|chrX"	0.00	0.00
"CCDS40929.1|Mm108|chrX"	0.00	0.00
"CCDS53067.1|Mm108|chrX"	0.00	0.00
"CCDS41004.1|Mm108|chrX"	0.00	0.00
"CCDS53106.1|Mm108|chrX"	0.00	0.00
"CCDS90798.1|Mm108|chrY"	0.00	0.00
"CCDS28072.1|Mm108|chr16"	0.00	0.00
"CCDS49801.1|Mm108|chr16"	0.00	0.00
"CCDS49802.1|Mm108|chr16"	0.00	0.00
"CCDS49870.1|Mm108|chr16"	0.00	0.00
"CCDS37413.1|Mm108|chr16"	0.00	0.00
"CCDS37238.1|Mm108|chr16"	0.00	0.00
"CCDS50103.1|Mm108|chr17"	0.00	0.00
"CCDS28699.1|Mm108|chr17"	0.00	0.00
"CCDS19938.1|Mm108|chr6"	0.00	0.00
"CCDS28454.1|Mm108|chr17"	0.00	0.00
"CCDS16868.1|Mm108|chr2"	0.00	0.00
"CCDS71160.1|Mm108|chr2"	0.00	0.00
"CCDS21038.1|Mm108|chr7"	0.00	0.00
"CCDS17410.1|Mm108|chr3"	0.00	0.00
"CCDS29996.2|Mm108|chrX"	0.00	0.00
"CCDS29998.1|Mm108|chrX"	0.00	0.00
"CCDS52991.1|Mm108|chrX"	0.00	0.00
"CCDS23350.1|Mm108|chr9"	0.00	0.00
"CCDS90628.1|Mm108|chr9"	0.00	0.00
"CCDS51960.1|Mm108|chr6"	0.00	0.00
"CCDS85189.1|Mm108|chr6"	0.00	0.00
"CCDS40283.1|Mm108|chr8"	0.00	0.00
"CCDS20621.1|Mm108|chr6"	0.00	0.00
"CCDS20611.1|Mm108|chr6"	0.00	0.00
"CCDS20610.1|Mm108|chr6"	0.00	0.00
"CCDS20609.1|Mm108|chr6"	0.00	0.00
"CCDS20631.1|Mm108|chr6"	0.00	0.00
"CCDS20626.1|Mm108|chr6"	0.00	0.00
"CCDS20627.1|Mm108|chr6"	0.00	0.00
"CCDS20613.1|Mm108|chr6"	0.00	0.00
"CCDS19939.1|Mm108|chr6"	0.00	0.00
"CCDS20617.1|Mm108|chr6"	0.00	0.00
"CCDS20618.1|Mm108|chr6"	0.00	0.00
"CCDS20620.1|Mm108|chr6"	0.00	0.00
"CCDS20628.1|Mm108|chr6"	0.00	0.00
"CCDS20070.1|Mm108|chr6"	0.00	0.00
"CCDS20629.1|Mm108|chr6"	0.00	0.00
"CCDS20608.1|Mm108|chr6"	0.00	0.00
"CCDS20630.1|Mm108|chr6"	0.00	0.00
"CCDS18037.1|Mm108|chr4"	0.00	0.00
"CCDS16029.1|Mm108|chr2"	0.00	0.00
"CCDS20069.1|Mm108|chr6"	0.00	0.00
"CCDS20038.1|Mm108|chr6"	0.00	0.00
"CCDS20068.1|Mm108|chr6"	0.00	0.00
"CCDS20062.1|Mm108|chr6"	0.00	0.00
"CCDS20159.1|Mm108|chr6"	0.00	0.00
"CCDS20059.1|Mm108|chr6"	0.00	0.00
"CCDS88281.1|Mm108|chr11"	0.00	0.00
"CCDS30001.1|Mm108|chrX"	0.00	0.00
"CCDS27483.1|Mm108|chr15"	0.00	0.00
"CCDS20633.1|Mm108|chr6"	0.00	0.00
"CCDS27836.1|Mm108|chr15"	0.00	0.00
"CCDS15215.1|Mm108|chr1"	0.00	0.00
"CCDS35657.1|Mm108|chr1"	0.00	0.00
"CCDS15139.1|Mm108|chr1"	0.00	0.00
"CCDS35659.1|Mm108|chr1"	0.00	0.00
"CCDS15138.1|Mm108|chr1"	0.00	0.00
"CCDS48313.1|Mm108|chr1"	0.00	0.00
"CCDS15143.1|Mm108|chr1"	0.00	0.00
"CCDS29519.1|Mm108|chr19"	0.00	0.00
"CCDS23130.1|Mm108|chr9"	0.00	0.00
"CCDS28726.1|Mm108|chr17"	0.00	0.00
"CCDS26094.1|Mm108|chr12"	0.00	0.00
"CCDS49193.1|Mm108|chr12"	0.00	0.00
"CCDS49194.1|Mm108|chr12"	0.00	0.00
"CCDS50662.1|Mm108|chr2"	0.00	0.00
"CCDS50663.1|Mm108|chr2"	0.00	0.00
"CCDS53197.1|Mm108|chrX"	0.00	0.00
"CCDS29439.1|Mm108|chr19"	0.00	0.00
"CCDS49613.1|Mm108|chr15"	0.00	0.00
"CCDS57230.1|Mm108|chr3"	0.00	0.00
"CCDS17586.1|Mm108|chr3"	0.00	0.00
"CCDS38528.1|Mm108|chr3"	0.00	0.00
"CCDS17588.1|Mm108|chr3"	0.00	0.00
"CCDS20074.1|Mm108|chr6"	0.00	0.00
"CCDS16813.1|Mm108|chr2"	0.00	0.00
"CCDS16890.1|Mm108|chr2"	0.00	0.00
"CCDS19221.1|Mm108|chr5"	0.00	0.00
"CCDS80265.1|Mm108|chr5"	0.00	0.00
"CCDS17439.1|Mm108|chr3"	0.00	0.00
"CCDS39208.2|Mm108|chr5"	0.00	0.00
"CCDS48472.1|Mm108|chr1"	0.00	0.00
"CCDS14931.1|Mm108|chr1"	0.00	0.00
"CCDS52489.1|Mm108|chr8"	0.00	0.00
"CCDS20894.1|Mm108|chr7"	0.00	0.00
"CCDS24731.1|Mm108|chr11"	0.00	0.00
"CCDS25880.1|Mm108|chr12"	0.00	0.00
"CCDS22690.1|Mm108|chr8"	0.00	0.00
"CCDS40694.1|Mm108|chr9"	0.00	0.00
"CCDS29800.1|Mm108|chr19"	0.00	0.00
"CCDS48456.1|Mm108|chr1"	0.00	0.00
"CCDS21304.1|Mm108|chr7"	0.00	0.00
"CCDS21300.1|Mm108|chr7"	0.00	0.00
"CCDS21302.1|Mm108|chr7"	0.00	0.00
"CCDS21299.1|Mm108|chr7"	0.00	0.00
"CCDS20763.1|Mm108|chr7"	0.00	0.00
"CCDS20766.1|Mm108|chr7"	0.00	0.00
"CCDS20936.1|Mm108|chr7"	0.00	0.00
"CCDS52137.1|Mm108|chr7"	0.00	0.00
"CCDS20938.1|Mm108|chr7"	0.00	0.00
"CCDS20921.1|Mm108|chr7"	0.00	0.00
"CCDS20933.1|Mm108|chr7"	0.00	0.00
"CCDS28760.1|Mm108|chr17"	0.00	0.00
"CCDS28250.1|Mm108|chr16"	0.00	0.00
"CCDS57032.1|Mm108|chr16"	0.00	0.00
"CCDS84247.1|Mm108|chr16"	0.00	0.00
"CCDS57670.1|Mm108|chr9"	0.00	0.00
"CCDS57671.1|Mm108|chr9"	0.00	0.00
"CCDS52592.1|Mm108|chr8"	0.00	0.00
"CCDS25027.1|Mm108|chr11"	0.00	0.00
"CCDS21564.1|Mm108|chr7"	0.00	0.00
"CCDS21641.1|Mm108|chr7"	0.00	0.00
"CCDS27033.1|Mm108|chr14"	0.00	0.00
"CCDS24311.1|Mm108|chr10"	0.00	0.00
"CCDS23029.1|Mm108|chr9"	0.00	0.00
"CCDS16239.1|Mm108|chr2"	0.00	0.00
"CCDS16249.1|Mm108|chr2"	0.00	0.00
"CCDS16253.1|Mm108|chr2"	0.00	0.00
"CCDS16285.1|Mm108|chr2"	0.00	0.00
"CCDS38175.1|Mm108|chr2"	0.00	0.00
"CCDS16330.1|Mm108|chr2"	0.00	0.00
"CCDS16346.1|Mm108|chr2"	0.00	0.00
"CCDS16391.1|Mm108|chr2"	0.00	0.00
"CCDS26280.1|Mm108|chr13"	0.00	0.00
"CCDS24617.1|Mm108|chr11"	0.00	0.00
"CCDS24614.1|Mm108|chr11"	0.00	0.00
"CCDS29664.1|Mm108|chr19"	0.00	0.00
"CCDS36165.1|Mm108|chr11"	0.00	0.00
"CCDS38172.1|Mm108|chr2"	0.00	0.00
"CCDS15188.1|Mm108|chr1"	0.00	0.00
"CCDS78656.1|Mm108|chr1"	0.00	0.00
"CCDS18320.1|Mm108|chr4"	0.00	0.00
"CCDS23885.1|Mm108|chr10"	0.00	0.00
"CCDS38478.1|Mm108|chr3"	0.00	0.00
"CCDS16410.1|Mm108|chr2"	0.00	0.00
"CCDS30414.1|Mm108|chrX"	0.00	0.00
"CCDS49695.1|Mm108|chr15"	0.00	0.00
"CCDS27852.1|Mm108|chr15"	0.00	0.00
"CCDS27865.1|Mm108|chr15"	0.00	0.00
"CCDS36307.1|Mm108|chr11"	0.00	0.00
"CCDS83897.1|Mm108|chr11"	0.00	0.00
"CCDS27857.1|Mm108|chr15"	0.00	0.00
"CCDS17104.1|Mm108|chr2"	0.00	0.00
"CCDS26630.1|Mm108|chr13"	0.00	0.00
"CCDS30340.1|Mm108|chrX"	0.00	0.00
"CCDS53170.1|Mm108|chrX"	0.00	0.00
"CCDS37586.1|Mm108|chr17"	0.00	0.00
"CCDS50076.1|Mm108|chr17"	0.00	0.00
"CCDS36080.1|Mm108|chr10"	0.00	0.00
"CCDS90402.1|Mm108|chr8"	0.00	0.00
"CCDS26502.1|Mm108|chr13"	0.00	0.00
"CCDS40175.1|Mm108|chr7"	0.00	0.00
"CCDS24580.1|Mm108|chr11"	0.00	0.00
"CCDS37859.1|Mm108|chr18"	0.00	0.00
"CCDS36102.1|Mm108|chr11"	0.00	0.00
"CCDS70134.1|Mm108|chr11"	0.00	0.00
"CCDS16056.1|Mm108|chr2"	0.00	0.00
"CCDS28506.1|Mm108|chr17"	0.00	0.00
"CCDS40334.1|Mm108|chr8"	0.00	0.00
"CCDS36718.1|Mm108|chr13"	0.00	0.00
"CCDS52782.1|Mm108|chr9"	0.00	0.00
"CCDS36009.2|Mm108|chr10"	0.00	0.00
"CCDS83738.1|Mm108|chr10"	0.00	0.00
"CCDS36713.1|Mm108|chr13"	0.00	0.00
"CCDS49302.1|Mm108|chr13"	0.00	0.00
"CCDS36716.2|Mm108|chr13"	0.00	0.00
"CCDS38327.1|Mm108|chr2"	0.00	0.00
"CCDS48234.1|Mm108|chr1"	0.00	0.00
"CCDS53146.1|Mm108|chrX"	0.00	0.00
"CCDS37329.1|Mm108|chr16"	0.00	0.00
"CCDS50304.1|Mm108|chr18"	0.00	0.00
"CCDS57529.1|Mm108|chr7"	0.00	0.00
"CCDS71921.1|Mm108|chr7"	0.00	0.00
"CCDS80909.1|Mm108|chr8"	0.00	0.00
"CCDS39501.1|Mm108|chr6"	0.00	0.00
"CCDS30506.1|Mm108|chrX"	0.00	0.00
"CCDS84461.1|Mm108|chr19"	0.00	0.00
"CCDS84462.1|Mm108|chr19"	0.00	0.00
"CCDS84463.1|Mm108|chr19"	0.00	0.00
"CCDS29895.1|Mm108|chr19"	0.00	0.00
"CCDS18448.1|Mm108|chr4"	0.00	0.00
"CCDS38330.1|Mm108|chr2"	0.00	0.00
"CCDS36711.1|Mm108|chr13"	0.00	0.00
"CCDS23753.1|Mm108|chr10"	0.00	0.00
"CCDS83688.1|Mm108|chr10"	0.00	0.00
"CCDS78805.1|Mm108|chr10"	0.00	0.00
"CCDS87984.1|Mm108|chr10"	0.00	0.00
"CCDS48583.1|Mm108|chr10"	0.00	0.00
"CCDS83704.1|Mm108|chr10"	0.00	1.00
"CCDS48641.1|Mm108|chr10"	0.00	0.00
"CCDS24056.1|Mm108|chr10"	0.00	0.00
"CCDS56738.1|Mm108|chr10"	0.00	0.00
"CCDS24110.1|Mm108|chr10"	0.00	0.00
"CCDS24193.1|Mm108|chr10"	0.00	0.00
"CCDS78898.1|Mm108|chr10"	0.00	0.00
"CCDS36083.1|Mm108|chr10"	0.00	0.00
"CCDS24426.1|Mm108|chr11"	0.00	0.00
"CCDS83783.1|Mm108|chr11"	0.00	0.00
"CCDS24576.1|Mm108|chr11"	0.00	0.00
"CCDS36141.2|Mm108|chr11"	0.00	0.00
"CCDS78964.1|Mm108|chr11"	0.00	0.00
"CCDS78965.1|Mm108|chr11"	0.00	0.00
"CCDS78966.1|Mm108|chr11"	0.00	0.00
"CCDS25033.1|Mm108|chr11"	0.00	0.00
"CCDS48889.1|Mm108|chr11"	0.00	0.00
"CCDS56803.1|Mm108|chr11"	0.00	0.00
"CCDS36328.1|Mm108|chr11"	0.00	0.00
"CCDS36366.1|Mm108|chr11"	0.00	0.00
"CCDS36372.1|Mm108|chr11"	0.00	0.00
"CCDS36401.2|Mm108|chr12"	0.00	0.00
"CCDS26048.1|Mm108|chr12"	0.00	0.00
"CCDS26221.1|Mm108|chr13"	0.00	0.00
"CCDS49211.1|Mm108|chr13"	0.00	0.00
"CCDS84009.1|Mm108|chr13"	0.00	0.00
"CCDS88421.1|Mm108|chr13"	0.00	0.00
"CCDS36617.1|Mm108|chr13"	0.00	0.00
"CCDS26546.1|Mm108|chr13"	0.00	0.00
"CCDS49298.1|Mm108|chr13"	0.00	0.00
"CCDS79206.1|Mm108|chr13"	0.00	0.00
"CCDS56890.1|Mm108|chr13"	0.00	0.00
"CCDS26645.1|Mm108|chr13"	0.00	0.00
"CCDS49405.1|Mm108|chr14"	0.00	0.00
"CCDS49442.1|Mm108|chr14"	0.00	0.00
"CCDS49443.1|Mm108|chr14"	0.00	0.00
"CCDS36944.1|Mm108|chr14"	0.00	0.00
"CCDS27299.2|Mm108|chr14"	0.00	0.00
"CCDS49586.1|Mm108|chr15"	0.00	0.00
"CCDS88783.1|Mm108|chr15"	0.00	0.00
"CCDS57017.1|Mm108|chr16"	0.00	0.00
"CCDS70681.1|Mm108|chr16"	0.00	0.00
"CCDS37328.1|Mm108|chr16"	0.00	0.00
"CCDS49863.1|Mm108|chr16"	0.00	0.00
"CCDS28246.1|Mm108|chr16"	0.00	0.00
"CCDS49974.1|Mm108|chr17"	0.00	0.00
"CCDS37533.1|Mm108|chr17"	0.00	0.00
"CCDS50083.1|Mm108|chr17"	0.00	0.00
"CCDS50093.1|Mm108|chr17"	0.00	0.00
"CCDS50109.1|Mm108|chr17"	0.00	0.00
"CCDS37806.1|Mm108|chr18"	0.00	0.00
"CCDS29224.1|Mm108|chr18"	0.00	0.00
"CCDS89231.1|Mm108|chr18"	0.00	0.00
"CCDS89232.1|Mm108|chr18"	0.00	0.00
"CCDS50285.1|Mm108|chr18"	0.00	0.00
"CCDS50363.1|Mm108|chr19"	0.00	0.00
"CCDS29797.1|Mm108|chr19"	0.00	0.00
"CCDS29908.1|Mm108|chr19"	0.00	0.00
"CCDS48228.1|Mm108|chr1"	0.00	0.00
"CCDS14902.1|Mm108|chr1"	0.00	0.00
"CCDS14927.1|Mm108|chr1"	0.00	0.00
"CCDS15083.1|Mm108|chr1"	0.00	0.00
"CCDS15379.1|Mm108|chr1"	0.00	0.00
"CCDS35759.1|Mm108|chr1"	0.00	0.00
"CCDS15589.1|Mm108|chr1"	0.00	0.00
"CCDS89460.1|Mm108|chr2"	0.00	0.00
"CCDS50553.1|Mm108|chr2"	0.00	0.00
"CCDS16345.1|Mm108|chr2"	0.00	0.00
"CCDS50676.1|Mm108|chr2"	0.00	0.00
"CCDS38224.1|Mm108|chr2"	0.00	0.00
"CCDS38262.1|Mm108|chr2"	0.00	0.00
"CCDS50745.1|Mm108|chr2"	0.00	0.00
"CCDS38278.1|Mm108|chr2"	0.00	0.00
"CCDS50762.1|Mm108|chr2"	0.00	0.00
"CCDS17046.2|Mm108|chr2"	0.00	0.00
"CCDS17342.2|Mm108|chr3"	0.00	0.00
"CCDS50916.1|Mm108|chr3"	0.00	0.00
"CCDS38517.1|Mm108|chr3"	0.00	0.00
"CCDS17713.1|Mm108|chr3"	0.00	0.00
"CCDS57257.1|Mm108|chr3"	0.00	0.00
"CCDS17933.1|Mm108|chr3"	0.00	0.00
"CCDS18027.1|Mm108|chr4"	0.00	0.00
"CCDS71367.1|Mm108|chr4"	0.00	0.00
"CCDS38743.1|Mm108|chr4"	0.00	0.00
"CCDS71376.1|Mm108|chr4"	0.00	0.00
"CCDS18145.1|Mm108|chr4"	0.00	0.00
"CCDS51205.1|Mm108|chr4"	0.00	0.00
"CCDS51291.1|Mm108|chr4"	0.00	0.00
"CCDS18696.1|Mm108|chr4"	0.00	0.00
"CCDS38914.1|Mm108|chr4"	0.00	0.00
"CCDS51339.1|Mm108|chr4"	0.00	0.00
"CCDS18904.1|Mm108|chr4"	0.00	0.00
"CCDS57310.1|Mm108|chr4"	0.00	0.00
"CCDS84823.1|Mm108|chr4"	0.00	0.00
"CCDS18921.1|Mm108|chr4"	0.00	0.00
"CCDS51393.1|Mm108|chr4"	58.00	0.00
"CCDS51404.1|Mm108|chr4"	0.00	0.00
"CCDS19149.1|Mm108|chr5"	0.00	0.00
"CCDS57333.1|Mm108|chr5"	0.00	0.00
"CCDS19319.2|Mm108|chr5"	0.00	0.00
"CCDS19340.1|Mm108|chr5"	0.00	0.00
"CCDS80301.1|Mm108|chr5"	0.00	0.00
"CCDS39193.1|Mm108|chr5"	0.00	0.00
"CCDS39203.1|Mm108|chr5"	0.00	0.00
"CCDS80354.1|Mm108|chr5"	0.00	0.00
"CCDS39214.1|Mm108|chr5"	0.00	0.00
"CCDS19567.1|Mm108|chr5"	0.00	0.00
"CCDS39349.1|Mm108|chr5"	0.00	0.00
"CCDS90005.1|Mm108|chr5"	0.00	0.00
"CCDS90016.1|Mm108|chr5"	0.00	0.00
"CCDS39465.1|Mm108|chr6"	0.00	0.00
"CCDS90039.1|Mm108|chr6"	0.00	0.00
"CCDS51792.1|Mm108|chr6"	0.00	0.00
"CCDS51795.1|Mm108|chr6"	0.00	0.00
"CCDS57489.1|Mm108|chr7"	0.00	0.00
"CCDS57485.1|Mm108|chr7"	0.00	0.00
"CCDS57492.1|Mm108|chr7"	0.00	0.00
"CCDS52032.1|Mm108|chr7"	0.00	0.00
"CCDS52043.1|Mm108|chr7"	0.00	0.00
"CCDS52044.1|Mm108|chr7"	0.00	0.00
"CCDS52161.1|Mm108|chr7"	0.00	0.00
"CCDS52205.1|Mm108|chr7"	0.00	0.00
"CCDS52209.1|Mm108|chr7"	0.00	0.00
"CCDS85276.1|Mm108|chr7"	0.00	0.00
"CCDS39926.1|Mm108|chr7"	0.00	0.00
"CCDS85317.1|Mm108|chr7"	0.00	0.00
"CCDS90253.1|Mm108|chr7"	0.00	0.00
"CCDS21402.1|Mm108|chr7"	0.00	0.00
"CCDS52283.1|Mm108|chr7"	0.00	0.00
"CCDS52319.1|Mm108|chr7"	0.00	0.00
"CCDS57570.1|Mm108|chr7"	0.00	0.00
"CCDS40105.1|Mm108|chr7"	0.00	0.00
"CCDS90320.1|Mm108|chr7"	0.00	0.00
"CCDS21787.1|Mm108|chr7"	0.00	0.00
"CCDS21788.1|Mm108|chr7"	0.00	0.00
"CCDS40148.1|Mm108|chr7"	0.00	0.00
"CCDS52029.1|Mm108|chr7"	0.00	0.00
"CCDS52586.1|Mm108|chr8"	0.00	0.00
"CCDS59741.1|Mm108|chr8"	0.00	0.00
"CCDS22877.1|Mm108|chr9"	0.00	0.00
"CCDS52766.1|Mm108|chr9"	0.00	0.00
"CCDS52787.1|Mm108|chr9"	0.00	0.00
"CCDS23360.1|Mm108|chr9"	0.00	0.00
"CCDS90659.1|Mm108|chr9"	0.00	0.00
"CCDS23519.1|Mm108|chr9"	0.00	0.00
"CCDS57701.1|Mm108|chr9"	0.00	0.00
"CCDS23525.1|Mm108|chr9"	0.00	0.00
"CCDS23549.1|Mm108|chr9"	0.00	0.00
"CCDS49483.1|Mm108|chr14"	0.00	0.00
"CCDS35638.1|Mm108|chr1"	0.00	0.00
"CCDS29534.1|Mm108|chr19"	0.00	0.00
"CCDS59730.1|Mm108|chr7"	0.00	0.00
"CCDS51444.1|Mm108|chr5"	0.00	0.00
"CCDS50006.1|Mm108|chr17"	0.00	0.00
"CCDS40836.1|Mm108|chrX"	0.00	0.00
"CCDS52993.1|Mm108|chrX"	0.00	0.00
"CCDS52994.1|Mm108|chrX"	0.00	0.00
"CCDS40854.1|Mm108|chrX"	0.00	0.00
"CCDS30070.1|Mm108|chrX"	0.00	0.00
"CCDS53060.1|Mm108|chrX"	0.00	0.00
"CCDS40933.1|Mm108|chrX"	0.00	0.00
"CCDS40934.1|Mm108|chrX"	0.00	0.00
"CCDS53057.1|Mm108|chrX"	0.00	0.00
"CCDS53059.1|Mm108|chrX"	0.00	0.00
"CCDS30082.1|Mm108|chrX"	0.00	0.00
"CCDS40945.1|Mm108|chrX"	0.00	0.00
"CCDS30126.1|Mm108|chrX"	0.00	0.00
"CCDS30163.1|Mm108|chrX"	0.00	0.00
"CCDS41005.1|Mm108|chrX"	0.00	0.00
"CCDS53113.1|Mm108|chrX"	0.00	0.00
